51118,Kalimantan Selatan,Kabupaten,Tabalong,Pugaan,Pugaan,71554,Kalimantan Selatan/Tabalong/Pugaan/Pugaan/71554
51119,Kalimantan Selatan,Kabupaten,Tabalong,Pugaan,Sei/Sungai Rukam I,71554,Kalimantan Selatan/Tabalong/Pugaan/Sei/Sungai Rukam I/71554
51120,Kalimantan Selatan,Kabupaten,Tabalong,Pugaan,Sei/Sungai Rukam II,71554,Kalimantan Selatan/Tabalong/Pugaan/Sei/Sungai Rukam II/71554
51121,Kalimantan Selatan,Kabupaten,Tabalong,Pugaan,Tamunti,71554,Kalimantan Selatan/Tabalong/Pugaan/Tamunti/71554
51122,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Harus,71555,Kalimantan Selatan/Tabalong/Muara Harus/Harus/71555
51123,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Madang,71555,Kalimantan Selatan/Tabalong/Muara Harus/Madang/71555
51124,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Manduin,71555,Kalimantan Selatan/Tabalong/Muara Harus/Manduin/71555
51125,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Mantuil,71555,Kalimantan Selatan/Tabalong/Muara Harus/Mantuil/71555
51126,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Murung Karangan,71555,Kalimantan Selatan/Tabalong/Muara Harus/Murung Karangan/71555
51127,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Padangin,71555,Kalimantan Selatan/Tabalong/Muara Harus/Padangin/71555
51128,Kalimantan Selatan,Kabupaten,Tabalong,Muara Harus,Tantaringin,71555,Kalimantan Selatan/Tabalong/Muara Harus/Tantaringin/71555
51129,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Barimbun,71561,Kalimantan Selatan/Tabalong/Tanta/Barimbun/71561
51130,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Luk Bayur,71561,Kalimantan Selatan/Tabalong/Tanta/Luk Bayur/71561
51131,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Mangkusip,71561,Kalimantan Selatan/Tabalong/Tanta/Mangkusip/71561
51132,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Murung Baru,71561,Kalimantan Selatan/Tabalong/Tanta/Murung Baru/71561
51133,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Padang Panjang,71561,Kalimantan Selatan/Tabalong/Tanta/Padang Panjang/71561
51134,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Padangin,71561,Kalimantan Selatan/Tabalong/Tanta/Padangin/71561
51135,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Pamarangan Kanan,71561,Kalimantan Selatan/Tabalong/Tanta/Pamarangan Kanan/71561
51136,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Puain Kanan,71561,Kalimantan Selatan/Tabalong/Tanta/Puain Kanan/71561
51137,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,"Pulau Ku,U (Kuu)",71561,"Kalimantan Selatan/Tabalong/Tanta/Pulau Ku,U (Kuu)/71561"
51138,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Tamiyang,71561,Kalimantan Selatan/Tabalong/Tanta/Tamiyang/71561
51139,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Tanta,71561,Kalimantan Selatan/Tabalong/Tanta/Tanta/71561
51140,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Tanta Hulu,71561,Kalimantan Selatan/Tabalong/Tanta/Tanta Hulu/71561
51141,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Walangkir,71561,Kalimantan Selatan/Tabalong/Tanta/Walangkir/71561
51142,Kalimantan Selatan,Kabupaten,Tabalong,Tanta,Warukin,71561,Kalimantan Selatan/Tabalong/Tanta/Warukin/71561
51143,Kalimantan Selatan,Kabupaten,Tabalong,Murung Pudak,Belimbing,71571,Kalimantan Selatan/Tabalong/Murung Pudak/Belimbing/71571
