location_id,province,type,city,district,village,zip_code,description
1,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Gambir,10110,DKI Jakarta/Jakarta Pusat/Gambir/Gambir/10110
2,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Kebon Kelapa,10120,DKI Jakarta/Jakarta Pusat/Gambir/Kebon Kelapa/10120
3,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Petojo Utara,10130,DKI Jakarta/Jakarta Pusat/Gambir/Petojo Utara/10130
4,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Duri Pulo,10140,DKI Jakarta/Jakarta Pusat/Gambir/Duri Pulo/10140
5,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Cideng,10150,DKI Jakarta/Jakarta Pusat/Gambir/Cideng/10150
6,DKI Jakarta,Kotamadya,Jakarta Pusat,Gambir,Petojo Selatan,10160,DKI Jakarta/Jakarta Pusat/Gambir/Petojo Selatan/10160
7,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210,DKI Jakarta/Jakarta Pusat/Tanah Abang/Bendungan Hilir/10210
8,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220,DKI Jakarta/Jakarta Pusat/Tanah Abang/Karet Tengsin/10220
9,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Kebon Melati,10230,DKI Jakarta/Jakarta Pusat/Tanah Abang/Kebon Melati/10230
10,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Kebon Kacang,10240,DKI Jakarta/Jakarta Pusat/Tanah Abang/Kebon Kacang/10240
11,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Kampung Bali,10250,DKI Jakarta/Jakarta Pusat/Tanah Abang/Kampung Bali/10250
12,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Petamburan,10260,DKI Jakarta/Jakarta Pusat/Tanah Abang/Petamburan/10260
13,DKI Jakarta,Kotamadya,Jakarta Pusat,Tanah Abang,Gelora,10270,DKI Jakarta/Jakarta Pusat/Tanah Abang/Gelora/10270
14,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Menteng,10310,DKI Jakarta/Jakarta Pusat/Menteng/Menteng/10310
15,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Pegangsaan,10320,DKI Jakarta/Jakarta Pusat/Menteng/Pegangsaan/10320
16,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Cikini,10330,DKI Jakarta/Jakarta Pusat/Menteng/Cikini/10330
17,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Kebon Sirih,10340,DKI Jakarta/Jakarta Pusat/Menteng/Kebon Sirih/10340
18,DKI Jakarta,Kotamadya,Jakarta Pusat,Menteng,Gondangdia,10350,DKI Jakarta/Jakarta Pusat/Menteng/Gondangdia/10350
19,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Senen,10410,DKI Jakarta/Jakarta Pusat/Senen/Senen/10410
20,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Kwitang,10420,DKI Jakarta/Jakarta Pusat/Senen/Kwitang/10420
21,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Kenari,10430,DKI Jakarta/Jakarta Pusat/Senen/Kenari/10430
22,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Paseban,10440,DKI Jakarta/Jakarta Pusat/Senen/Paseban/10440
23,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Kramat,10450,DKI Jakarta/Jakarta Pusat/Senen/Kramat/10450
24,DKI Jakarta,Kotamadya,Jakarta Pusat,Senen,Bungur,10460,DKI Jakarta/Jakarta Pusat/Senen/Bungur/10460
25,DKI Jakarta,Kotamadya,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,10510,DKI Jakarta/Jakarta Pusat/Cempaka Putih/Cempaka Putih Timur/10510
26,DKI Jakarta,Kotamadya,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,10520,DKI Jakarta/Jakarta Pusat/Cempaka Putih/Cempaka Putih Barat/10520
27,DKI Jakarta,Kotamadya,Jakarta Pusat,Johar Baru,Galur,10530,DKI Jakarta/Jakarta Pusat/Johar Baru/Galur/10530
28,DKI Jakarta,Kotamadya,Jakarta Pusat,Johar Baru,Tanah Tinggi,10540,DKI Jakarta/Jakarta Pusat/Johar Baru/Tanah Tinggi/10540
29,DKI Jakarta,Kotamadya,Jakarta Pusat,Johar Baru,Kampung Rawa,10550,DKI Jakarta/Jakarta Pusat/Johar Baru/Kampung Rawa/10550
30,DKI Jakarta,Kotamadya,Jakarta Pusat,Johar Baru,Johar Baru,10560,DKI Jakarta/Jakarta Pusat/Johar Baru/Johar Baru/10560
31,DKI Jakarta,Kotamadya,Jakarta Pusat,Cempaka Putih,Rawasari,10570,DKI Jakarta/Jakarta Pusat/Cempaka Putih/Rawasari/10570
32,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,10610,DKI Jakarta/Jakarta Pusat/Kemayoran/Gunung Sahari Selatan/10610
33,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Kemayoran,10620,DKI Jakarta/Jakarta Pusat/Kemayoran/Kemayoran/10620
34,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Kebon Kosong,10630,DKI Jakarta/Jakarta Pusat/Kemayoran/Kebon Kosong/10630
35,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Cempaka Baru,10640,DKI Jakarta/Jakarta Pusat/Kemayoran/Cempaka Baru/10640
36,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Harapan Mulya,10640,DKI Jakarta/Jakarta Pusat/Kemayoran/Harapan Mulya/10640
37,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Sumur Batu,10640,DKI Jakarta/Jakarta Pusat/Kemayoran/Sumur Batu/10640
38,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Serdang,10650,DKI Jakarta/Jakarta Pusat/Kemayoran/Serdang/10650
39,DKI Jakarta,Kotamadya,Jakarta Pusat,Kemayoran,Utan Panjang,10650,DKI Jakarta/Jakarta Pusat/Kemayoran/Utan Panjang/10650
40,DKI Jakarta,Kotamadya,Jakarta Pusat,Sawah Besar,Pasar Baru,10710,DKI Jakarta/Jakarta Pusat/Sawah Besar/Pasar Baru/10710
41,DKI Jakarta,Kotamadya,Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,10720,DKI Jakarta/Jakarta Pusat/Sawah Besar/Gunung Sahari Utara/10720
42,DKI Jakarta,Kotamadya,Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,10730,DKI Jakarta/Jakarta Pusat/Sawah Besar/Mangga Dua Selatan/10730
43,DKI Jakarta,Kotamadya,Jakarta Pusat,Sawah Besar,Karang Anyar,10740,DKI Jakarta/Jakarta Pusat/Sawah Besar/Karang Anyar/10740
44,DKI Jakarta,Kotamadya,Jakarta Pusat,Sawah Besar,Kartini,10750,DKI Jakarta/Jakarta Pusat/Sawah Besar/Kartini/10750
45,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Pinangsia,11110,DKI Jakarta/Jakarta Barat/Taman Sari/Pinangsia/11110
46,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Glodok,11120,DKI Jakarta/Jakarta Barat/Taman Sari/Glodok/11120
47,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Keagungan,11130,DKI Jakarta/Jakarta Barat/Taman Sari/Keagungan/11130
48,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Krukut,11140,DKI Jakarta/Jakarta Barat/Taman Sari/Krukut/11140
49,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Taman Sari,11150,DKI Jakarta/Jakarta Barat/Taman Sari/Taman Sari/11150
50,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Maphar,11160,DKI Jakarta/Jakarta Barat/Taman Sari/Maphar/11160
51,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Tangki,11170,DKI Jakarta/Jakarta Barat/Taman Sari/Tangki/11170
52,DKI Jakarta,Kotamadya,Jakarta Barat,Taman Sari,Mangga Besar,11180,DKI Jakarta/Jakarta Barat/Taman Sari/Mangga Besar/11180
53,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Tanah Sereal,11210,DKI Jakarta/Jakarta Barat/Tambora/Tanah Sereal/11210
54,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Tambora,11220,DKI Jakarta/Jakarta Barat/Tambora/Tambora/11220
55,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Roa Malaka,11230,DKI Jakarta/Jakarta Barat/Tambora/Roa Malaka/11230
56,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Pekojan,11240,DKI Jakarta/Jakarta Barat/Tambora/Pekojan/11240
57,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Jembatan Lima,11250,DKI Jakarta/Jakarta Barat/Tambora/Jembatan Lima/11250
58,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Krendang,11260,DKI Jakarta/Jakarta Barat/Tambora/Krendang/11260
59,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Duri Selatan,11270,DKI Jakarta/Jakarta Barat/Tambora/Duri Selatan/11270
60,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Duri Utara,11270,DKI Jakarta/Jakarta Barat/Tambora/Duri Utara/11270
61,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Kali Anyar,11310,DKI Jakarta/Jakarta Barat/Tambora/Kali Anyar/11310
62,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Jembatan Besi,11320,DKI Jakarta/Jakarta Barat/Tambora/Jembatan Besi/11320
63,DKI Jakarta,Kotamadya,Jakarta Barat,Tambora,Angke,11330,DKI Jakarta/Jakarta Barat/Tambora/Angke/11330
64,DKI Jakarta,Kotamadya,Jakarta Barat,Palmerah,Slipi,11410,DKI Jakarta/Jakarta Barat/Palmerah/Slipi/11410
65,DKI Jakarta,Kotamadya,Jakarta Barat,Palmerah,Kota Bambu Selatan,11420,DKI Jakarta/Jakarta Barat/Palmerah/Kota Bambu Selatan/11420
66,DKI Jakarta,Kotamadya,Jakarta Barat,Palmerah,Kota Bambu Utara,11420,DKI Jakarta/Jakarta Barat/Palmerah/Kota Bambu Utara/11420
67,DKI Jakarta,Kotamadya,Jakarta Barat,Palmerah,Jatipulo,11430,DKI Jakarta/Jakarta Barat/Palmerah/Jatipulo/11430
68,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Tomang,11440,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Tomang/11440
69,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Grogol,11450,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Grogol/11450
70,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Jelambar,11460,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Jelambar/11460
71,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Jelambar Baru,11460,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Jelambar Baru/11460
72,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,11460,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Wijaya Kusuma/11460
73,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,11470,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Tanjung Duren Selatan/11470
74,DKI Jakarta,Kotamadya,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,11470,DKI Jakarta/Jakarta Barat/Grogol Petamburan/Tanjung Duren Utara/11470
75,DKI Jakarta,Kotamadya,Jakarta Barat,Palmerah,Kemanggisan,11480,DKI Jakarta/Jakarta Barat/Palmerah/Kemanggisan/11480
76,DKI Jakarta,Kotamadya,Jakarta Barat,Palmerah,Palmerah,11480,DKI Jakarta/Jakarta Barat/Palmerah/Palmerah/11480
77,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Duri Kepa,11510,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Duri Kepa/11510
78,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Kedoya Selatan,11520,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Kedoya Selatan/11520
79,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Kedoya Utara,11520,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Kedoya Utara/11520
80,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,11530,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Kebon Jeruk/11530
81,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Sukabumi Utara (Ilir),11540,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Sukabumi Utara (Ilir)/11540
82,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Kelapa Dua,11550,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Kelapa Dua/11550
83,DKI Jakarta,Kotamadya,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan (Udik),11560,DKI Jakarta/Jakarta Barat/Kebon Jeruk/Sukabumi Selatan (Udik)/11560
84,DKI Jakarta,Kotamadya,Jakarta Barat,Kembangan,Kembangan Selatan,11610,DKI Jakarta/Jakarta Barat/Kembangan/Kembangan Selatan/11610
85,DKI Jakarta,Kotamadya,Jakarta Barat,Kembangan,Kembangan Utara,11610,DKI Jakarta/Jakarta Barat/Kembangan/Kembangan Utara/11610
86,DKI Jakarta,Kotamadya,Jakarta Barat,Kembangan,Meruya Utara (Ilir),11620,DKI Jakarta/Jakarta Barat/Kembangan/Meruya Utara (Ilir)/11620
87,DKI Jakarta,Kotamadya,Jakarta Barat,Kembangan,Srengseng,11630,DKI Jakarta/Jakarta Barat/Kembangan/Srengseng/11630
88,DKI Jakarta,Kotamadya,Jakarta Barat,Kembangan,Joglo,11640,DKI Jakarta/Jakarta Barat/Kembangan/Joglo/11640
89,DKI Jakarta,Kotamadya,Jakarta Barat,Kembangan,Meruya Selatan (Udik),11650,DKI Jakarta/Jakarta Barat/Kembangan/Meruya Selatan (Udik)/11650
90,DKI Jakarta,Kotamadya,Jakarta Barat,Cengkareng,Kedaung Kali Angke,11710,DKI Jakarta/Jakarta Barat/Cengkareng/Kedaung Kali Angke/11710
91,DKI Jakarta,Kotamadya,Jakarta Barat,Cengkareng,Kapuk,11720,DKI Jakarta/Jakarta Barat/Cengkareng/Kapuk/11720
92,DKI Jakarta,Kotamadya,Jakarta Barat,Cengkareng,Cengkareng Barat,11730,DKI Jakarta/Jakarta Barat/Cengkareng/Cengkareng Barat/11730
93,DKI Jakarta,Kotamadya,Jakarta Barat,Cengkareng,Cengkareng Timur,11730,DKI Jakarta/Jakarta Barat/Cengkareng/Cengkareng Timur/11730
94,DKI Jakarta,Kotamadya,Jakarta Barat,Cengkareng,Rawa Buaya,11740,DKI Jakarta/Jakarta Barat/Cengkareng/Rawa Buaya/11740
95,DKI Jakarta,Kotamadya,Jakarta Barat,Cengkareng,Duri Kosambi,11750,DKI Jakarta/Jakarta Barat/Cengkareng/Duri Kosambi/11750
96,DKI Jakarta,Kotamadya,Jakarta Barat,Kalideres,Kamal,11810,DKI Jakarta/Jakarta Barat/Kalideres/Kamal/11810
97,DKI Jakarta,Kotamadya,Jakarta Barat,Kalideres,Tegal Alur,11820,DKI Jakarta/Jakarta Barat/Kalideres/Tegal Alur/11820
98,DKI Jakarta,Kotamadya,Jakarta Barat,Kalideres,Pegadungan,11830,DKI Jakarta/Jakarta Barat/Kalideres/Pegadungan/11830
99,DKI Jakarta,Kotamadya,Jakarta Barat,Kalideres,Kalideres,11840,DKI Jakarta/Jakarta Barat/Kalideres/Kalideres/11840
100,DKI Jakarta,Kotamadya,Jakarta Barat,Kalideres,Semanan,11850,DKI Jakarta/Jakarta Barat/Kalideres/Semanan/11850
101,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Selong,12110,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Selong/12110
102,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Gunung,12120,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Gunung/12120
103,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Kramat Pela,12130,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Kramat Pela/12130
104,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Gandaria Utara,12140,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Gandaria Utara/12140
105,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Cipete Utara,12150,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Cipete Utara/12150
106,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Melawai,12160,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Melawai/12160
107,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Pulo,12160,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Pulo/12160
108,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Petogogan,12170,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Petogogan/12170
109,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Rawa Barat,12180,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Rawa Barat/12180
110,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Baru,Senayan,12190,DKI Jakarta/Jakarta Selatan/Kebayoran Baru/Senayan/12190
111,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Lama,Grogol Utara,12210,DKI Jakarta/Jakarta Selatan/Kebayoran Lama/Grogol Utara/12210
112,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Lama,Grogol Selatan,12220,DKI Jakarta/Jakarta Selatan/Kebayoran Lama/Grogol Selatan/12220
113,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Lama,Cipulir,12230,DKI Jakarta/Jakarta Selatan/Kebayoran Lama/Cipulir/12230
114,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Selatan,12240,DKI Jakarta/Jakarta Selatan/Kebayoran Lama/Kebayoran Lama Selatan/12240
115,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12240,DKI Jakarta/Jakarta Selatan/Kebayoran Lama/Kebayoran Lama Utara/12240
116,DKI Jakarta,Kotamadya,Jakarta Selatan,Pesanggrahan,Ulujami,12250,DKI Jakarta/Jakarta Selatan/Pesanggrahan/Ulujami/12250
117,DKI Jakarta,Kotamadya,Jakarta Selatan,Pesanggrahan,Petukangan Utara,12260,DKI Jakarta/Jakarta Selatan/Pesanggrahan/Petukangan Utara/12260
118,DKI Jakarta,Kotamadya,Jakarta Selatan,Pesanggrahan,Petukangan Selatan,12270,DKI Jakarta/Jakarta Selatan/Pesanggrahan/Petukangan Selatan/12270
119,DKI Jakarta,Kotamadya,Jakarta Selatan,Kebayoran Lama,Pondok Pinang,12310,DKI Jakarta/Jakarta Selatan/Kebayoran Lama/Pondok Pinang/12310
120,DKI Jakarta,Kotamadya,Jakarta Selatan,Pesanggrahan,Pesanggrahan,12320,DKI Jakarta/Jakarta Selatan/Pesanggrahan/Pesanggrahan/12320
121,DKI Jakarta,Kotamadya,Jakarta Selatan,Pesanggrahan,Bintaro,12330,DKI Jakarta/Jakarta Selatan/Pesanggrahan/Bintaro/12330
122,DKI Jakarta,Kotamadya,Jakarta Selatan,Cilandak,Cipete Selatan,12410,DKI Jakarta/Jakarta Selatan/Cilandak/Cipete Selatan/12410
123,DKI Jakarta,Kotamadya,Jakarta Selatan,Cilandak,Gandaria Selatan,12420,DKI Jakarta/Jakarta Selatan/Cilandak/Gandaria Selatan/12420
124,DKI Jakarta,Kotamadya,Jakarta Selatan,Cilandak,Cilandak Barat,12430,DKI Jakarta/Jakarta Selatan/Cilandak/Cilandak Barat/12430
125,DKI Jakarta,Kotamadya,Jakarta Selatan,Cilandak,Lebak Bulus,12440,DKI Jakarta/Jakarta Selatan/Cilandak/Lebak Bulus/12440
126,DKI Jakarta,Kotamadya,Jakarta Selatan,Cilandak,Pondok Labu,12450,DKI Jakarta/Jakarta Selatan/Cilandak/Pondok Labu/12450
127,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Pejaten Barat,12510,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Pejaten Barat/12510
128,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Pejaten Timur,12510,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Pejaten Timur/12510
129,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Kebagusan,12520,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Kebagusan/12520
130,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Pasar Minggu,12520,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Pasar Minggu/12520
131,DKI Jakarta,Kotamadya,Jakarta Selatan,Jagakarsa,Tanjung Barat,12530,DKI Jakarta/Jakarta Selatan/Jagakarsa/Tanjung Barat/12530
132,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Jati Padang,12540,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Jati Padang/12540
133,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Ragunan,12550,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Ragunan/12550
134,DKI Jakarta,Kotamadya,Jakarta Selatan,Pasar Minggu,Cilandak Timur,12560,DKI Jakarta/Jakarta Selatan/Pasar Minggu/Cilandak Timur/12560
135,DKI Jakarta,Kotamadya,Jakarta Selatan,Jagakarsa,Jagakarsa,12620,DKI Jakarta/Jakarta Selatan/Jagakarsa/Jagakarsa/12620
136,DKI Jakarta,Kotamadya,Jakarta Selatan,Jagakarsa,Ciganjur,12630,DKI Jakarta/Jakarta Selatan/Jagakarsa/Ciganjur/12630
137,DKI Jakarta,Kotamadya,Jakarta Selatan,Jagakarsa,Cipedak,12630,DKI Jakarta/Jakarta Selatan/Jagakarsa/Cipedak/12630
138,DKI Jakarta,Kotamadya,Jakarta Selatan,Jagakarsa,Lenteng Agung,12630,DKI Jakarta/Jakarta Selatan/Jagakarsa/Lenteng Agung/12630
139,DKI Jakarta,Kotamadya,Jakarta Selatan,Jagakarsa,Srengseng Sawah,12640,DKI Jakarta/Jakarta Selatan/Jagakarsa/Srengseng Sawah/12640
140,DKI Jakarta,Kotamadya,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,12710,DKI Jakarta/Jakarta Selatan/Mampang Prapatan/Kuningan Barat/12710
141,DKI Jakarta,Kotamadya,Jakarta Selatan,Mampang Prapatan,Pela Mampang,12720,DKI Jakarta/Jakarta Selatan/Mampang Prapatan/Pela Mampang/12720
142,DKI Jakarta,Kotamadya,Jakarta Selatan,Mampang Prapatan,Bangka,12730,DKI Jakarta/Jakarta Selatan/Mampang Prapatan/Bangka/12730
143,DKI Jakarta,Kotamadya,Jakarta Selatan,Pancoran,Kalibata,12740,DKI Jakarta/Jakarta Selatan/Pancoran/Kalibata/12740
144,DKI Jakarta,Kotamadya,Jakarta Selatan,Pancoran,Rawa Jati,12750,DKI Jakarta/Jakarta Selatan/Pancoran/Rawa Jati/12750
145,DKI Jakarta,Kotamadya,Jakarta Selatan,Pancoran,Duren Tiga,12760,DKI Jakarta/Jakarta Selatan/Pancoran/Duren Tiga/12760
146,DKI Jakarta,Kotamadya,Jakarta Selatan,Pancoran,Cikoko,12770,DKI Jakarta/Jakarta Selatan/Pancoran/Cikoko/12770
147,DKI Jakarta,Kotamadya,Jakarta Selatan,Pancoran,Pengadegan,12770,DKI Jakarta/Jakarta Selatan/Pancoran/Pengadegan/12770
148,DKI Jakarta,Kotamadya,Jakarta Selatan,Pancoran,Pancoran,12780,DKI Jakarta/Jakarta Selatan/Pancoran/Pancoran/12780
149,DKI Jakarta,Kotamadya,Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,12790,DKI Jakarta/Jakarta Selatan/Mampang Prapatan/Mampang Prapatan/12790
150,DKI Jakarta,Kotamadya,Jakarta Selatan,Mampang Prapatan,Tegal Parang,12790,DKI Jakarta/Jakarta Selatan/Mampang Prapatan/Tegal Parang/12790
151,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Tebet Barat,12810,DKI Jakarta/Jakarta Selatan/Tebet/Tebet Barat/12810
152,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Tebet Timur,12820,DKI Jakarta/Jakarta Selatan/Tebet/Tebet Timur/12820
153,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Kebon Baru,12830,DKI Jakarta/Jakarta Selatan/Tebet/Kebon Baru/12830
154,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Bukit Duri,12840,DKI Jakarta/Jakarta Selatan/Tebet/Bukit Duri/12840
155,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Manggarai,12850,DKI Jakarta/Jakarta Selatan/Tebet/Manggarai/12850
156,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Manggarai Selatan,12860,DKI Jakarta/Jakarta Selatan/Tebet/Manggarai Selatan/12860
157,DKI Jakarta,Kotamadya,Jakarta Selatan,Tebet,Menteng Dalam,12870,DKI Jakarta/Jakarta Selatan/Tebet/Menteng Dalam/12870
158,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Setiabudi,12910,DKI Jakarta/Jakarta Selatan/Setia Budi/Setiabudi/12910
159,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Karet,12920,DKI Jakarta/Jakarta Selatan/Setia Budi/Karet/12920
160,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Karet Semanggi,12930,DKI Jakarta/Jakarta Selatan/Setia Budi/Karet Semanggi/12930
161,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Karet Kuningan,12940,DKI Jakarta/Jakarta Selatan/Setia Budi/Karet Kuningan/12940
162,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Kuningan Timur,12950,DKI Jakarta/Jakarta Selatan/Setia Budi/Kuningan Timur/12950
163,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Menteng Atas,12960,DKI Jakarta/Jakarta Selatan/Setia Budi/Menteng Atas/12960
164,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Pasar Manggis,12970,DKI Jakarta/Jakarta Selatan/Setia Budi/Pasar Manggis/12970
165,DKI Jakarta,Kotamadya,Jakarta Selatan,Setia Budi,Guntur,12980,DKI Jakarta/Jakarta Selatan/Setia Budi/Guntur/12980
166,DKI Jakarta,Kotamadya,Jakarta Timur,Matraman,Pisangan Baru,13110,DKI Jakarta/Jakarta Timur/Matraman/Pisangan Baru/13110
167,DKI Jakarta,Kotamadya,Jakarta Timur,Matraman,Utan Kayu Selatan,13120,DKI Jakarta/Jakarta Timur/Matraman/Utan Kayu Selatan/13120
168,DKI Jakarta,Kotamadya,Jakarta Timur,Matraman,Utan Kayu Utara,13120,DKI Jakarta/Jakarta Timur/Matraman/Utan Kayu Utara/13120
169,DKI Jakarta,Kotamadya,Jakarta Timur,Matraman,Kayu Manis,13130,DKI Jakarta/Jakarta Timur/Matraman/Kayu Manis/13130
